Theta,Growth,samplingSize,n.haplotypes,n.seg.sites
ten,no,4,4,16
ten,no,4,4,23
ten,no,4,3,4
ten,no,4,4,22
ten,no,4,3,16
ten,no,4,3,20
ten,no,4,4,21
ten,no,4,2,15
ten,no,4,4,17
ten,no,4,4,16
ten,no,4,3,20
ten,no,4,4,20
ten,no,4,2,1
ten,no,4,4,20
ten,no,4,4,21
ten,no,4,3,21
ten,no,4,4,20
ten,no,4,4,21
ten,no,4,4,20
ten,no,4,4,20
ten,no,4,4,23
ten,no,4,4,25
ten,no,4,4,17
ten,no,4,4,20
ten,no,4,4,21
ten,no,4,4,17
ten,no,4,4,23
ten,no,4,4,26
ten,no,4,4,20
ten,no,4,3,3
ten,no,4,2,1
ten,no,4,3,17
ten,no,4,4,26
ten,no,4,4,21
ten,no,4,4,21
ten,no,4,4,17
ten,no,4,3,19
ten,no,4,4,25
ten,no,4,4,14
ten,no,4,4,22
ten,no,4,4,22
ten,no,4,4,23
ten,no,4,4,22
ten,no,4,4,23
ten,no,4,4,24
ten,no,4,4,18
ten,no,4,3,20
ten,no,4,3,4
ten,no,4,4,21
ten,no,4,3,20
ten,no,4,3,19
ten,no,4,2,15
ten,no,4,4,13
ten,no,4,3,25
ten,no,4,4,22
ten,no,4,3,19
ten,no,4,3,23
ten,no,4,4,20
ten,no,4,4,24
ten,no,4,4,24
ten,no,4,4,24
ten,no,4,3,4
ten,no,4,4,20
ten,no,4,4,22
ten,no,8,7,28
ten,no,8,7,28
ten,no,8,6,25
ten,no,8,6,30
ten,no,8,6,26
ten,no,8,6,25
ten,no,8,7,23
ten,no,8,7,27
ten,no,8,7,26
ten,no,8,6,23
ten,no,8,5,18
ten,no,8,6,23
ten,no,8,7,30
ten,no,8,7,28
ten,no,8,6,23
ten,no,8,6,24
ten,no,8,5,21
ten,no,8,6,24
ten,no,8,6,20
ten,no,8,5,23
ten,no,8,5,22
ten,no,8,5,18
ten,no,8,7,28
ten,no,8,7,26
ten,no,8,7,26
ten,no,8,8,25
ten,no,8,6,27
ten,no,8,8,23
ten,no,8,6,27
ten,no,8,4,19
ten,no,8,7,25
ten,no,8,7,25
ten,no,8,4,21
ten,no,8,6,9
ten,no,8,7,24
ten,no,8,7,26
ten,no,8,7,25
ten,no,8,5,28
ten,no,8,3,19
ten,no,8,5,20
ten,no,8,7,28
ten,no,8,6,26
ten,no,8,6,27
ten,no,8,6,24
ten,no,8,5,22
ten,no,8,7,28
ten,no,8,6,21
ten,no,8,8,28
ten,no,8,5,22
ten,no,8,7,28
ten,no,8,7,29
ten,no,8,7,27
ten,no,8,6,28
ten,no,8,7,32
ten,no,8,7,28
ten,no,8,7,26
ten,no,8,7,26
ten,no,8,7,26
ten,no,8,7,27
ten,no,8,7,28
ten,no,8,7,25
ten,no,8,5,24
ten,no,8,6,21
ten,no,8,7,25
ten,no,8,7,25
ten,no,8,6,24
ten,no,8,6,27
ten,no,8,7,26
ten,no,8,4,23
ten,no,8,6,26
ten,no,8,7,28
ten,no,8,7,25
ten,no,8,6,27
ten,no,8,6,25
ten,no,8,5,22
ten,no,8,7,27
ten,no,8,7,27
ten,no,8,6,25
ten,no,8,5,21
ten,no,8,7,29
ten,no,8,7,23
ten,no,8,6,25
ten,no,8,6,24
ten,no,8,6,26
ten,no,8,4,20
ten,no,8,7,30
ten,no,8,7,27
ten,no,8,7,24
ten,no,8,6,28
ten,no,8,6,26
ten,no,8,7,28
ten,no,8,6,24
ten,no,8,5,24
ten,no,8,7,27
ten,no,8,6,24
ten,no,8,8,28
ten,no,8,5,21
ten,no,8,5,23
ten,no,8,6,26
ten,no,8,6,27
ten,no,16,11,32
ten,no,16,10,31
ten,no,16,10,30
ten,no,16,10,29
ten,no,16,9,30
ten,no,16,10,30
ten,no,16,9,31
ten,no,16,10,31
ten,no,16,13,33
ten,no,16,12,35
ten,no,16,10,31
ten,no,16,13,34
ten,no,16,12,34
ten,no,16,9,29
ten,no,16,9,29
ten,no,16,14,38
ten,no,16,10,30
ten,no,16,11,33
ten,no,16,11,31
ten,no,16,8,28
ten,no,16,10,29
ten,no,16,10,28
ten,no,16,10,27
ten,no,16,12,33
ten,no,16,8,29
ten,no,16,11,32
ten,no,16,9,26
ten,no,16,10,28
ten,no,16,10,31
ten,no,16,10,34
ten,no,16,7,25
ten,no,16,9,30
ten,no,16,11,32
ten,no,16,10,33
ten,no,16,14,32
ten,no,16,10,32
ten,no,16,13,35
ten,no,16,8,28
ten,no,16,8,24
