n,expHap.t2,varHap.t2,expHap.t10,varHap.t10,expHap.t20,varHap.t20
104,8.471860723,6.930038863,24.80053482,16.16495282,36.91439791,20.64491744
105,8.490728647,6.948550789,24.88825412,16.24497745,37.07568824,20.78019319
106,8.509420236,6.966893003,24.97521064,16.32437253,37.23568824,20.91459319
107,8.527938754,6.985068586,25.06141754,16.4031478,37.39441839,21.04812809
108,8.546287378,7.003080537,25.14688762,16.48131275,37.55189871,21.18080835
109,8.564469196,7.020931777,25.23163339,16.55887667,37.70814871,21.31264429
110,8.582487215,7.038625146,25.315667,16.63584863,37.86318747,21.44364604
111,8.600344357,7.056163411,25.39900033,16.71223752,38.01703362,21.57382355
112,8.618043472,7.073549268,25.48164496,16.78805202,38.16970538,21.70318664
113,8.635587332,7.09078534,25.56361218,16.8633006,38.32122053,21.83174495
114,8.652978636,7.107874187,25.64491299,16.9379916,38.47159647,21.95950797
115,8.670220016,7.124818301,25.72555815,17.01213311,38.6208502,22.08648502
116,8.687314033,7.141620113,25.80555815,17.08573311,38.76899835,22.2126853
117,8.704263185,7.158281992,25.88492323,17.15879938,38.91605717,22.33811782
118,8.721069908,7.174806249,25.96366339,17.23133952,39.06204257,22.46279149
119,8.737736575,7.191195138,26.04178839,17.30336101,39.20697011,22.58671503
120,8.7542655,7.207450858,26.11930777,17.37487113,39.350855,22.70989706
121,8.770658943,7.223575555,26.19623084,17.44587705,39.49371215,22.83234604
122,8.786919106,7.239571325,26.27256672,17.51638576,39.63555612,22.9540703
123,8.803048138,7.255440212,26.3483243,17.58640413,39.77640119,23.07507804
124,8.819048138,7.271184212,26.42351227,17.65593887,39.91626133,23.19537732
125,8.834921154,7.286805275,26.49813913,17.72499656,40.05515022,23.31497608
126,8.850669185,7.302305306,26.57221321,17.79358367,40.19308125,23.43388215
127,8.866294185,7.317686165,26.64574262,17.86170651,40.33006755,23.5521032
128,8.881798061,7.332949671,26.71873532,17.92937127,40.46612197,23.66964682
