Theta,n,segSites,prob
two,21,7,0.111413875
two,22,7,0.112041042
two,23,7,0.112551206
two,24,7,0.112957579
two,25,7,0.113271688
two,26,7,0.11350363
two,27,7,0.113662274
two,28,7,0.113755436
two,29,7,0.113790023
two,30,7,0.113772156
two,31,7,0.113707269
two,32,7,0.113600205
two,33,7,0.113455281
ten,1,7,0
ten,2,7,0.046650738
ten,3,7,0.046787868
ten,4,7,0.037188233
ten,5,7,0.027524529
ten,6,7,0.019874531
ten,7,7,0.014260473
ten,8,7,0.010253343
ten,9,7,0.007417293
ten,10,7,0.00540905
ten,11,7,0.00397988
ten,12,7,0.002955401
ten,13,7,0.002214849
ten,14,7,0.001674788
ten,15,7,0.001277403
ten,16,7,0.000982411
ten,17,7,0.000761537
ten,18,7,0.00059478
ten,19,7,0.000467873
ten,20,7,0.000370553
ten,21,7,0.000295377
ten,22,7,0.0002369
ten,23,7,0.00019111
ten,24,7,0.000155027
ten,25,7,0.000126422
ten,26,7,0.000103614
ten,27,7,8.53E-05
ten,28,7,7.06E-05
ten,29,7,5.87E-05
ten,30,7,4.89E-05
ten,31,7,4.10E-05
ten,32,7,3.45E-05
ten,33,7,2.91E-05
twenty,1,7,0
twenty,2,7,0.033841968
twenty,3,7,0.021033198
twenty,4,7,0.010608956
twenty,5,7,0.005090901
twenty,6,7,0.002430122
twenty,7,7,0.00117334
twenty,8,7,0.000576987
twenty,9,7,0.000289761
twenty,10,7,0.000148727
twenty,11,7,7.80E-05
twenty,12,7,4.18E-05
twenty,13,7,2.28E-05
twenty,14,7,1.27E-05
twenty,15,7,7.22E-06
twenty,16,7,4.17E-06
twenty,17,7,2.45E-06
twenty,18,7,1.46E-06
twenty,19,7,8.82E-07
twenty,20,7,5.41E-07
twenty,21,7,3.36E-07
twenty,22,7,2.12E-07
twenty,23,7,1.35E-07
twenty,24,7,8.69E-08
twenty,25,7,5.66E-08
twenty,26,7,3.72E-08
twenty,27,7,2.47E-08
twenty,28,7,1.65E-08
twenty,29,7,1.11E-08
twenty,30,7,7.37E-09
twenty,31,7,4.68E-09
twenty,32,7,1.99E-09
twenty,33,7,-9.78E-10
two,1,8,0
two,2,8,0.013006147
two,3,8,0.02405917
two,4,8,0.033552283
two,5,8,0.041777093
two,6,8,0.048955314
two,7,8,0.055259045
two,8,8,0.060824227
two,9,8,0.065759857
two,10,8,0.070154471
two,11,8,0.074080808
two,12,8,0.077599228
two,13,8,0.080760273
two,14,8,0.083606604
two,15,8,0.08617449
two,16,8,0.088494972
two,17,8,0.090594773
two,18,8,0.092497029
two,19,8,0.094221866
two,20,8,0.09578688
two,21,8,0.097207516
two,22,8,0.098497387
two,23,8,0.099668539
two,24,8,0.100731662
two,25,8,0.10169628
two,26,8,0.102570898
two,27,8,0.103363139
two,28,8,0.104079849
two,29,8,0.104727194
two,30,8,0.10531074
two,31,8,0.105835523
two,32,8,0.10630611
two,33,8,0.106726649
ten,1,8,0
ten,2,8,0.042409762
ten,3,8,0.046058184
ten,4,8,0.039235144
ten,5,8,0.030870419
ten,6,8,0.023539827
ten,7,8,0.017740231
ten,8,8,0.013336179
ten,9,8,0.010047909
ten,10,8,0.007606404
ten,11,8,0.005793142
ten,12,8,0.004441837
ten,13,8,0.00342957
ten,14,8,0.002666621
ten,15,8,0.00208778
ten,16,8,0.001645632
ten,17,8,0.001305595
ten,18,8,0.00104233
ten,19,8,0.000837167
ten,20,8,0.000676266
ten,21,8,0.000549303
ten,22,8,0.000448528
ten,23,8,0.000368085
ten,24,8,0.000303522
ten,25,8,0.000251434
ten,26,8,0.000209199
ten,27,8,0.000174791
ten,28,8,0.000146628
ten,29,8,0.000123477
ten,30,8,0.000104365
ten,31,8,8.85E-05
ten,32,8,7.53E-05
ten,33,8,6.43E-05
twenty,1,8,0
twenty,2,8,0.032230446
twenty,3,8,0.02205113
twenty,4,8,0.012101414
twenty,5,8,0.00625932
twenty,6,8,0.003195961
twenty,7,8,0.001640098
twenty,8,8,0.000852609
twenty,9,8,0.000450575
twenty,10,8,0.000242404
twenty,11,8,0.000132808
twenty,12,8,7.41E-05
twenty,13,8,4.21E-05
twenty,14,8,2.43E-05
twenty,15,8,1.42E-05
twenty,16,8,8.49E-06
twenty,17,8,5.13E-06
twenty,18,8,3.15E-06
twenty,19,8,1.96E-06
twenty,20,8,1.23E-06
twenty,21,8,7.83E-07
twenty,22,8,5.04E-07
twenty,23,8,3.28E-07
twenty,24,8,2.16E-07
twenty,25,8,1.44E-07
twenty,26,8,9.63E-08
twenty,27,8,6.52E-08
twenty,28,8,4.45E-08
twenty,29,8,3.06E-08
twenty,30,8,2.11E-08
twenty,31,8,1.46E-08
twenty,32,8,9.70E-09
twenty,33,8,5.60E-09
two,1,9,0
two,2,9,0.008670765
two,3,9,0.016364967
two,4,9,0.023239894
two,5,9,0.02941896
two,6,9,0.035000776
two,7,9,0.040065343
two,8,9,0.044678428
two,9,9,0.048894714
two,10,9,0.052760125
two,11,9,0.056313572
two,12,9,0.059588288
two,13,9,0.062612857
two,14,9,0.065412023
two,15,9,0.068007332
two,16,9,0.070417642
two,17,9,0.072659546
two,18,9,0.074747702
two,19,9,0.076695118
two,20,9,0.078513381
two,21,9,0.080212848
two,22,9,0.081802808
two,23,9,0.083291619
two,24,9,0.084686822
two,25,9,0.085995242
two,26,9,0.087223069
two,27,9,0.088375931
two,28,9,0.08945896
two,29,9,0.090476842
two,30,9,0.091433868
two,31,9,0.092333971
two,32,9,0.093180767
two,33,9,0.093977584
ten,1,9,0
ten,2,9,0.038554329
ten,3,9,0.044807541
ten,4,9,0.040521082
ten,5,9,0.033627751
ten,6,9,0.026902469
ten,7,9,0.02117607
ten,8,9,0.016564369
ten,9,9,0.012944114
