Pop,Theta,Growth,samplingSize,n.haplotypes
2,two,no,16,4
2,two,no,16,2
2,two,no,16,4
2,two,no,32,4
2,two,no,32,3
2,two,no,32,5
2,two,no,32,3
2,two,no,32,4
2,two,no,32,5
2,two,no,32,3
2,two,no,32,3
2,two,no,32,5
2,two,no,32,3
2,two,no,32,7
2,two,no,32,2
2,two,no,32,5
2,two,no,32,5
2,two,no,32,6
2,two,no,32,3
2,two,no,32,4
2,two,no,32,6
2,two,no,32,5
2,two,no,32,3
2,two,no,32,5
2,two,no,32,4
2,two,no,32,5
2,two,no,32,4
2,two,no,32,7
2,two,no,32,4
2,two,no,32,5
2,two,no,32,4
2,two,no,32,7
2,two,no,32,3
2,two,no,32,5
2,two,no,32,3
2,two,no,32,4
2,two,no,32,5
2,two,no,32,5
2,two,no,32,7
2,two,no,32,5
2,two,no,32,4
2,two,no,32,6
2,two,no,32,4
2,two,no,32,6
2,two,no,32,5
2,two,no,32,3
2,two,no,32,4
2,two,no,32,5
2,two,no,32,6
2,two,no,32,6
2,two,no,32,5
2,two,no,32,2
2,two,no,32,6
2,two,no,32,5
2,two,no,32,6
2,two,no,32,4
2,two,no,32,5
2,two,no,32,5
2,two,no,32,3
2,two,no,32,4
2,two,no,32,5
2,two,no,32,7
2,two,no,32,4
2,two,no,32,6
2,two,no,32,4
2,two,no,32,5
2,two,no,32,6
2,two,no,32,6
2,two,no,32,4
2,two,no,32,5
2,two,no,32,5
2,two,no,32,4
2,two,no,32,5
2,two,no,32,5
2,two,no,32,6
2,two,no,32,4
2,two,no,32,5
2,two,no,32,4
2,two,no,32,5
2,two,no,32,4
2,two,no,32,3
2,two,no,32,6
2,two,no,32,6
2,two,no,32,3
2,two,no,32,4
2,two,no,32,4
2,two,no,32,4
2,two,no,32,5
2,two,no,32,5
2,two,no,32,3
2,two,no,32,5
2,two,no,32,7
2,two,no,32,4
2,two,no,32,6
2,two,no,32,5
2,two,no,32,3
2,two,no,32,3
2,two,no,32,5
2,two,no,32,5
2,two,no,32,5
2,two,no,32,5
2,two,no,32,4
2,two,no,32,5
2,two,no,64,7
2,two,no,64,7
2,two,no,64,7
2,two,no,64,8
2,two,no,64,5
2,two,no,64,5
2,two,no,64,7
2,two,no,64,8
2,two,no,64,6
2,two,no,64,6
2,two,no,64,7
2,two,no,64,9
2,two,no,64,8
2,two,no,64,8
2,two,no,64,8
2,two,no,64,7
2,two,no,64,6
2,two,no,64,8
2,two,no,64,7
2,two,no,64,6
2,two,no,64,10
2,two,no,64,7
2,two,no,64,8
2,two,no,64,6
2,two,no,64,7
2,two,no,64,7
