Theta,wak.n,wak.segsites,wak.prob
two,37,6,0.107860775
two,38,6,0.107036948
two,39,6,0.106214198
two,40,6,0.105393692
two,41,6,0.104576436
two,42,6,0.103763296
two,43,6,0.102955016
two,44,6,0.102152234
two,45,6,0.101355496
two,46,6,0.100565263
two,47,6,0.099781928
two,48,6,0.099005818
two,49,6,0.098237206
two,50,6,0.09747632
ten,1,6,0
ten,2,6,0.051315812
ten,3,6,0.046815294
ten,4,6,0.034308342
ten,5,6,0.023659048
ten,6,6,0.016049533
ten,7,6,0.010892038
ten,8,6,0.007448351
ten,9,6,0.005148454
ten,10,6,0.003601632
ten,11,6,0.002550709
ten,12,6,0.001828473
ten,13,6,0.001326187
ten,14,6,0.000972708
ten,15,6,0.000721065
ten,16,6,0.000539922
ten,17,6,0.000408138
ten,18,6,0.000311293
ten,19,6,0.000239441
ten,20,6,0.000185646
ten,21,6,0.000145023
ten,22,6,0.000114098
ten,23,6,9.04E-05
ten,24,6,7.20E-05
ten,25,6,5.78E-05
ten,26,6,4.66E-05
ten,27,6,3.78E-05
ten,28,6,3.08E-05
ten,29,6,2.52E-05
ten,30,6,2.08E-05
ten,31,6,1.72E-05
ten,32,6,1.43E-05
ten,33,6,1.19E-05
ten,34,6,9.94E-06
ten,35,6,8.35E-06
ten,36,6,7.04E-06
ten,37,6,5.96E-06
ten,38,6,5.05E-06
ten,39,6,4.30E-06
ten,40,6,3.66E-06
ten,41,6,3.12E-06
ten,42,6,2.70E-06
ten,43,6,2.19E-06
ten,44,6,1.99E-06
ten,45,6,1.76E-06
ten,46,6,1.38E-06
ten,47,6,1.75E-07
ten,48,6,-2.16E-06
ten,49,6,-9.58E-06
ten,50,6,-1.07E-05
twenty,1,6,0
twenty,2,6,0.035534067
twenty,3,6,0.019752321
twenty,4,6,0.00904532
twenty,5,6,0.00398729
twenty,6,6,0.001764927
twenty,7,6,0.000796305
twenty,8,6,0.000368264
twenty,9,6,0.000174871
twenty,10,6,8.53E-05
twenty,11,6,4.27E-05
twenty,12,6,2.19E-05
twenty,13,6,1.15E-05
twenty,14,6,6.15E-06
twenty,15,6,3.37E-06
twenty,16,6,1.88E-06
twenty,17,6,1.07E-06
twenty,18,6,6.19E-07
twenty,19,6,3.64E-07
twenty,20,6,2.17E-07
twenty,21,6,1.32E-07
twenty,22,6,8.08E-08
twenty,23,6,5.03E-08
twenty,24,6,3.17E-08
twenty,25,6,2.02E-08
twenty,26,6,1.30E-08
twenty,27,6,8.52E-09
twenty,28,6,5.49E-09
twenty,29,6,3.61E-09
twenty,30,6,1.93E-09
twenty,31,6,5.49E-10
twenty,32,6,-1.24E-09
twenty,33,6,-4.10E-09
twenty,34,6,-7.21E-09
twenty,35,6,-1.71E-08
twenty,36,6,-3.06E-08
twenty,37,6,-8.22E-08
twenty,38,6,-1.07E-07
twenty,39,6,-1.78E-07
twenty,40,6,-5.87E-07
twenty,41,6,-1.05E-06
twenty,42,6,-1.54E-06
twenty,43,6,-2.86E-06
twenty,44,6,-6.95E-06
twenty,45,6,-1.23E-05
twenty,46,6,-1.84E-05
twenty,47,6,-3.58E-05
twenty,48,6,-6.41E-05
twenty,49,6,-0.000115091
twenty,50,6,-0.000332591
two,1,7,0
two,2,7,0.019509221
two,3,7,0.035112192
two,4,7,0.047791953
two,5,7,0.058226713
two,6,7,0.066900866
two,7,7,0.074170238
two,8,7,0.080302363
two,9,7,0.085502377
two,10,7,0.089930237
two,11,7,0.09371249
two,12,7,0.096950537
two,13,7,0.099726543
two,14,7,0.102107754
two,15,7,0.104149694
two,16,7,0.105898587
two,17,7,0.107393185
two,18,7,0.108666198
two,19,7,0.109745402
two,20,7,0.11065451
two,21,7,0.111413875
two,22,7,0.112041042
two,23,7,0.112551206
two,24,7,0.112957579
two,25,7,0.113271688
two,26,7,0.11350363
two,27,7,0.113662274
two,28,7,0.113755436
two,29,7,0.113790023
two,30,7,0.113772156
two,31,7,0.113707269
two,32,7,0.113600205
two,33,7,0.113455281
two,34,7,0.113276358
two,35,7,0.113066897
two,36,7,0.112830001
two,37,7,0.112568463
two,38,7,0.112284796
two,39,7,0.111981266
two,40,7,0.111659921
two,41,7,0.111322612
two,42,7,0.110971016
two,43,7,0.110606652
two,44,7,0.1102309
two,45,7,0.109845013
two,46,7,0.10945013
two,47,7,0.109047288
two,48,7,0.108637433
two,49,7,0.108221423
two,50,7,0.107800047
ten,1,7,0
ten,2,7,0.046650738
ten,3,7,0.046787868
ten,4,7,0.037188233
ten,5,7,0.027524529
ten,6,7,0.019874531
ten,7,7,0.014260473
ten,8,7,0.010253343
ten,9,7,0.007417293
ten,10,7,0.00540905
ten,11,7,0.00397988
ten,12,7,0.002955401
ten,13,7,0.002214849
ten,14,7,0.001674788
ten,15,7,0.001277403
ten,16,7,0.000982411
ten,17,7,0.000761537
ten,18,7,0.00059478
ten,19,7,0.000467873
ten,20,7,0.000370553
ten,21,7,0.000295377
ten,22,7,0.0002369
ten,23,7,0.00019111
ten,24,7,0.000155027
ten,25,7,0.000126422
ten,26,7,0.000103614
ten,27,7,8.53E-05
ten,28,7,7.06E-05
ten,29,7,5.87E-05
ten,30,7,4.89E-05
ten,31,7,4.10E-05
ten,32,7,3.45E-05
ten,33,7,2.91E-05
ten,34,7,2.46E-05
ten,35,7,2.09E-05
ten,36,7,1.79E-05
ten,37,7,1.53E-05
ten,38,7,1.31E-05
ten,39,7,1.13E-05
ten,40,7,9.71E-06
ten,41,7,8.39E-06
ten,42,7,7.26E-06
ten,43,7,6.25E-06
ten,44,7,5.42E-06
ten,45,7,4.73E-06
ten,46,7,4.04E-06
ten,47,7,2.95E-06
ten,48,7,1.87E-06
ten,49,7,3.61E-07
ten,50,7,-2.02E-07
twenty,1,7,0
twenty,2,7,0.033841968
twenty,3,7,0.021033198
twenty,4,7,0.010608956
twenty,5,7,0.005090901
twenty,6,7,0.002430122
twenty,7,7,0.00117334
twenty,8,7,0.000576987
twenty,9,7,0.000289761
twenty,10,7,0.000148727
twenty,11,7,7.80E-05
twenty,12,7,4.18E-05
twenty,13,7,2.28E-05
twenty,14,7,1.27E-05
twenty,15,7,7.22E-06
twenty,16,7,4.17E-06
twenty,17,7,2.45E-06
twenty,18,7,1.46E-06
twenty,19,7,8.82E-07
twenty,20,7,5.41E-07
twenty,21,7,3.36E-07
twenty,22,7,2.12E-07
twenty,23,7,1.35E-07
twenty,24,7,8.69E-08
twenty,25,7,5.66E-08
twenty,26,7,3.72E-08
twenty,27,7,2.47E-08
twenty,28,7,1.65E-08
