Pop,Theta,samplingSize,n.seg.sites
1,two,128,8
1,two,128,10
1,two,128,10
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,10
1,two,128,10
1,two,128,11
1,two,128,10
1,two,128,9
1,two,128,10
1,two,128,8
1,two,128,10
1,two,128,8
1,two,128,8
1,two,128,11
1,two,128,11
1,two,128,10
1,two,128,9
1,two,128,8
1,two,128,10
1,two,128,10
1,two,128,10
1,two,128,11
1,two,128,10
1,two,128,11
1,two,128,11
1,two,128,10
1,two,128,8
1,two,128,11
1,two,128,8
1,two,128,7
1,two,128,9
1,two,128,10
1,two,128,8
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,9
1,two,128,10
1,two,128,10
1,two,128,10
1,two,128,8
1,two,128,9
1,two,128,11
1,two,128,10
1,two,128,9
1,two,128,9
1,two,128,8
1,two,128,9
1,two,128,10
1,two,128,9
1,two,128,10
1,two,128,8
1,two,128,11
1,two,128,9
1,two,128,11
1,two,128,9
1,two,128,9
1,two,128,12
1,two,128,10
1,two,128,11
1,two,128,10
1,two,128,11
1,two,128,12
1,two,128,9
1,two,128,8
1,two,128,9
1,two,128,10
1,two,128,8
1,two,128,11
1,two,128,10
1,two,128,11
1,two,128,11
1,two,128,10
2,ten,2,17
2,ten,2,16
2,ten,2,11
2,ten,2,0
2,ten,2,4
2,ten,2,5
2,ten,2,5
2,ten,2,4
2,ten,2,14
2,ten,2,18
2,ten,2,17
2,ten,2,4
2,ten,2,13
2,ten,2,1
2,ten,2,16
2,ten,2,12
2,ten,2,17
2,ten,2,17
2,ten,2,3
2,ten,2,3
2,ten,2,2
2,ten,2,19
2,ten,2,2
2,ten,2,0
2,ten,2,13
2,ten,2,13
2,ten,2,16
2,ten,2,13
2,ten,2,18
2,ten,2,18
2,ten,2,16
2,ten,2,12
2,ten,2,11
2,ten,2,12
2,ten,2,11
2,ten,2,1
2,ten,2,1
2,ten,2,18
2,ten,2,16
2,ten,2,2
2,ten,2,4
2,ten,2,15
2,ten,2,15
2,ten,2,13
2,ten,2,0
2,ten,2,16
2,ten,2,15
2,ten,2,19
2,ten,2,2
2,ten,2,2
2,ten,2,0
2,ten,2,17
2,ten,2,4
2,ten,2,17
2,ten,2,1
2,ten,2,0
2,ten,2,13
2,ten,2,3
2,ten,2,15
2,ten,2,13
2,ten,2,20
