"","Pop","Theta","Growth","samplingSize","n.seg.sites"
"500",1,"two","yes","32",4
"501",1,"two","yes","32",5
"502",1,"two","yes","64",8
"503",1,"two","yes","64",6
"504",1,"two","yes","64",6
"505",1,"two","yes","64",5
"506",1,"two","yes","64",6
"507",1,"two","yes","64",5
"508",1,"two","yes","64",6
"509",1,"two","yes","64",6
"510",1,"two","yes","64",7
"511",1,"two","yes","64",6
"512",1,"two","yes","64",6
"513",1,"two","yes","64",5
"514",1,"two","yes","64",6
"515",1,"two","yes","64",6
"516",1,"two","yes","64",6
"517",1,"two","yes","64",4
"518",1,"two","yes","64",4
"519",1,"two","yes","64",5
"520",1,"two","yes","64",6
"521",1,"two","yes","64",5
"522",1,"two","yes","64",5
"523",1,"two","yes","64",6
"524",1,"two","yes","64",5
"525",1,"two","yes","64",5
"526",1,"two","yes","64",6
"527",1,"two","yes","64",4
"528",1,"two","yes","64",3
"529",1,"two","yes","64",5
"530",1,"two","yes","64",5
"531",1,"two","yes","64",7
"532",1,"two","yes","64",6
"533",1,"two","yes","64",7
"534",1,"two","yes","64",6
"535",1,"two","yes","64",8
"536",1,"two","yes","64",4
"537",1,"two","yes","64",5
"538",1,"two","yes","64",5
"539",1,"two","yes","64",6
"540",1,"two","yes","64",7
"541",1,"two","yes","64",5
"542",1,"two","yes","64",8
"543",1,"two","yes","64",7
"544",1,"two","yes","64",5
"545",1,"two","yes","64",3
"546",1,"two","yes","64",5
"547",1,"two","yes","64",4
"548",1,"two","yes","64",5
"549",1,"two","yes","64",5
"550",1,"two","yes","64",5
"551",1,"two","yes","64",8
"552",1,"two","yes","64",5
"553",1,"two","yes","64",8
"554",1,"two","yes","64",6
"555",1,"two","yes","64",5
"556",1,"two","yes","64",5
"557",1,"two","yes","64",5
"558",1,"two","yes","64",5
"559",1,"two","yes","64",5
"560",1,"two","yes","64",3
"561",1,"two","yes","64",5
"562",1,"two","yes","64",7
"563",1,"two","yes","64",7
"564",1,"two","yes","64",7
"565",1,"two","yes","64",7
"566",1,"two","yes","64",7
"567",1,"two","yes","64",5
"568",1,"two","yes","64",3
"569",1,"two","yes","64",7
"570",1,"two","yes","64",7
"571",1,"two","yes","64",3
"572",1,"two","yes","64",7
"573",1,"two","yes","64",7
"574",1,"two","yes","64",6
"575",1,"two","yes","64",5
"576",1,"two","yes","64",7
"577",1,"two","yes","64",6
"578",1,"two","yes","64",7
"579",1,"two","yes","64",4
"580",1,"two","yes","64",5
"581",1,"two","yes","64",6
"582",1,"two","yes","64",5
"583",1,"two","yes","64",7
