Pop,Theta,Growth,samplingSize,n.seg.sites
1,two,no,4,2
1,two,no,4,1
1,two,no,4,5
1,two,no,4,3
1,two,no,4,4
1,two,no,5,3
1,two,no,5,5
1,two,no,5,4
1,two,no,5,6
1,two,no,5,0
1,two,no,5,7
1,two,no,5,2
1,two,no,5,2
1,two,no,5,3
1,two,no,5,1
1,two,no,5,4
1,two,no,5,5
1,two,no,5,4
1,two,no,5,3
1,two,no,5,2
1,two,no,5,5
1,two,no,5,2
1,two,no,5,3
1,two,no,5,2
1,two,no,5,2
1,two,no,5,4
1,two,no,5,6
1,two,no,5,3
1,two,no,5,0
1,two,no,5,6
1,two,no,5,3
1,two,no,5,1
1,two,no,5,6
1,two,no,5,5
1,two,no,5,3
1,two,no,5,2
1,two,no,5,3
1,two,no,5,3
1,two,no,5,2
1,two,no,5,3
1,two,no,5,1
1,two,no,5,2
1,two,no,5,2
1,two,no,5,2
1,two,no,5,2
1,two,no,5,3
1,two,no,5,3
1,two,no,5,2
1,two,no,5,5
1,two,no,5,6
1,two,no,5,4
1,two,no,5,2
1,two,no,5,4
1,two,no,5,4
1,two,no,5,8
1,two,no,5,3
1,two,no,5,4
1,two,no,5,3
1,two,no,5,2
1,two,no,5,3
1,two,no,5,3
1,two,no,5,4
1,two,no,5,4
1,two,no,5,3
1,two,no,5,1
1,two,no,5,3
1,two,no,5,4
1,two,no,5,2
1,two,no,5,2
1,two,no,5,5
1,two,no,5,2
1,two,no,5,4
1,two,no,5,3
1,two,no,5,1
1,two,no,5,1
1,two,no,5,3
1,two,no,5,3
1,two,no,5,1
1,two,no,5,5
1,two,no,5,3
1,two,no,5,0
1,two,no,5,5
1,two,no,5,4
1,two,no,5,2
1,two,no,5,3
1,two,no,5,3
1,two,no,5,2
1,two,no,5,1
1,two,no,5,3
1,two,no,5,5
1,two,no,5,4
1,two,no,5,3
1,two,no,5,4
1,two,no,5,2
1,two,no,5,3
1,two,no,5,0
1,two,no,5,2
1,two,no,5,4
1,two,no,5,5
1,two,no,5,4
1,two,no,5,0
1,two,no,5,3
1,two,no,5,0
1,two,no,5,1
1,two,no,5,2
1,two,no,6,1
1,two,no,6,3
1,two,no,6,3
1,two,no,6,4
1,two,no,6,5
1,two,no,6,1
1,two,no,6,2
1,two,no,6,3
1,two,no,6,3
1,two,no,6,5
1,two,no,6,2
1,two,no,6,5
1,two,no,6,4
1,two,no,6,2
1,two,no,6,2
1,two,no,6,2
1,two,no,6,3
1,two,no,6,5
1,two,no,6,5
1,two,no,6,2
1,two,no,6,3
1,two,no,6,3
1,two,no,6,3
1,two,no,6,4
1,two,no,6,2
1,two,no,6,1
1,two,no,6,2
1,two,no,6,6
1,two,no,6,7
1,two,no,6,5
1,two,no,6,6
1,two,no,6,4
1,two,no,6,4
1,two,no,6,4
1,two,no,6,2
1,two,no,6,3
1,two,no,6,6
1,two,no,6,2
1,two,no,6,2
1,two,no,6,0
1,two,no,6,3
1,two,no,6,1
1,two,no,6,5
1,two,no,6,2
1,two,no,6,2
1,two,no,6,4
1,two,no,6,4
1,two,no,6,3
1,two,no,6,2
1,two,no,6,6
1,two,no,6,1
1,two,no,6,5
1,two,no,6,2
1,two,no,6,4
1,two,no,6,2
1,two,no,6,4
1,two,no,6,3
1,two,no,6,5
1,two,no,6,2
1,two,no,6,1
1,two,no,6,2
1,two,no,6,3
1,two,no,6,3
1,two,no,6,5
1,two,no,6,4
1,two,no,6,2
1,two,no,6,4
1,two,no,6,3
1,two,no,6,3
1,two,no,6,4
1,two,no,6,5
1,two,no,6,3
1,two,no,6,0
1,two,no,6,2
1,two,no,6,3
1,two,no,6,3
1,two,no,6,2
1,two,no,6,0
1,two,no,6,1
1,two,no,6,5
1,two,no,6,2
1,two,no,6,0
1,two,no,6,4
1,two,no,6,3
1,two,no,6,4
1,two,no,6,7
1,two,no,6,4
1,two,no,6,5
1,two,no,6,4
1,two,no,6,2
1,two,no,6,3
1,two,no,6,3
1,two,no,6,4
1,two,no,6,2
1,two,no,6,2
1,two,no,6,0
1,two,no,6,2
1,two,no,6,2
1,two,no,6,3
1,two,no,6,4
1,two,no,7,6
1,two,no,7,3
1,two,no,7,3
1,two,no,7,5
1,two,no,7,0
1,two,no,7,3
1,two,no,7,2
1,two,no,7,5
1,two,no,7,3
1,two,no,7,5
1,two,no,7,4
1,two,no,7,4
1,two,no,7,5
1,two,no,7,3
1,two,no,7,4
1,two,no,7,0
1,two,no,7,2
1,two,no,7,4
1,two,no,7,6
1,two,no,7,3
1,two,no,7,4
